"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 21 15:06:36 GMT 2022","Thu Apr 21 15:06:36 GMT 2022","0","test","test_register_page","TestRegisterPage","","","test_valid_registration","
        Успешная регистрация.
        "
"broken","Thu Apr 21 15:06:32 GMT 2022","Thu Apr 21 15:06:32 GMT 2022","0","test","test_login_page","TestLoginPage","","","test_login_with_invalid_user","
        Попытка авторизации с ошибкой в поле Email.
        "
"broken","Thu Apr 21 15:06:28 GMT 2022","Thu Apr 21 15:06:28 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_empty_checkbox","
        Пополнение баланса без принятия правил(чекбокс).
        "
"broken","Thu Apr 21 15:06:34 GMT 2022","Thu Apr 21 15:06:34 GMT 2022","0","test","test_main_page","TestMainPage","","","test_error_small_balance","
        Попытка купить, если недостаточный баланс.
        "
"broken","Thu Apr 21 15:06:35 GMT 2022","Thu Apr 21 15:06:35 GMT 2022","0","test","test_main_page","TestMainPage","","","test_success_shopping","Успешная покупка"
"broken","Thu Apr 21 15:06:31 GMT 2022","Thu Apr 21 15:06:31 GMT 2022","0","test","test_login_page","TestLoginPage","","","test_login_with_empty_password","
        Попытка авторизации с незаполненым паролем.
        "
"broken","Thu Apr 21 15:06:27 GMT 2022","Thu Apr 21 15:06:27 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_empty_money","
        Пополнение баланса без заполнения суммы.
        "
"broken","Thu Apr 21 15:06:22 GMT 2022","Thu Apr 21 15:06:22 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_balance_transfer","
        Пополнение баланса.
        "
"broken","Thu Apr 21 15:06:25 GMT 2022","Thu Apr 21 15:06:25 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_empty_card_name","
        Пополнение баланса без заполнения имени держателя карты.
        "
"broken","Thu Apr 21 15:06:29 GMT 2022","Thu Apr 21 15:06:29 GMT 2022","0","test","test_login_page","TestLoginPage","","","test_successful_login","
        Успешная авторизация пользователя.
        "
"broken","Thu Apr 21 15:06:38 GMT 2022","Thu Apr 21 15:06:38 GMT 2022","0","test","test_register_page","TestRegisterPage","","","test_short_password_registration","
        Регистрация с паролем < 7 симвлов.
        "
"broken","Thu Apr 21 15:06:37 GMT 2022","Thu Apr 21 15:06:37 GMT 2022","0","test","test_register_page","TestRegisterPage","","","test_invalid_password_registration","
        Регистрация с разными паролями.
        "
"skipped","Thu Apr 21 15:06:34 GMT 2022","Thu Apr 21 15:06:34 GMT 2022","0","test","test_main_page","TestMainPage","","","test_buy_empty_basket","
        Попытка купить, если корзина пуста.
        "
"broken","Thu Apr 21 15:06:37 GMT 2022","Thu Apr 21 15:06:37 GMT 2022","0","test","test_register_page","TestRegisterPage","","","test_invalid_email_registration","
        Регистрация с невалидным email.
        "
"broken","Thu Apr 21 15:06:30 GMT 2022","Thu Apr 21 15:06:30 GMT 2022","0","test","test_login_page","TestLoginPage","","","test_login_with_invalid_password","
        Попытка авторизации с невалидным паролем.
        "
"broken","Thu Apr 21 15:06:33 GMT 2022","Thu Apr 21 15:06:33 GMT 2022","0","test","test_main_page","TestMainPage","","","test_add_product_to_basket","
        Открываем главную страницу и проверяем, что карточки продуктов доступны для добавления в корзину.
        "
"broken","Thu Apr 21 15:06:26 GMT 2022","Thu Apr 21 15:06:26 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_empty_card_date","
        Пополнение баланса без заполнения даты действия карты.
        "
"broken","Thu Apr 21 15:06:26 GMT 2022","Thu Apr 21 15:06:26 GMT 2022","0","test","test_balance_page","TestBalancePage","","","test_empty_card_number","
        Пополнение баланса без заполнения номера карты.
        "
"broken","Thu Apr 21 15:06:32 GMT 2022","Thu Apr 21 15:06:32 GMT 2022","0","test","test_login_page","TestLoginPage","","","test_non_existent_user","
        Попытка авторизации незарегистированного пользователя.
        "
